Data de lançamento;Período;Centro;Centro custo;Denominação de objeto;Documento de compras;Classe de custo;Denom.classe custo;Denominação;Texto breve material;Nº doc.de referência;Valor/moeda objeto;Conta lnçto.contrap.;Descrição da conta de contrapartida;Tipo de documento;Linha de lançamento;Nº documento;Denomin.da conta de contrapartida;Objeto;Data do documento;Empresa;Texto de cabeçalho de documento;Nome do usuário;Material
14/01/2025;1;;BR5A008;CONTROLADORIA;;6600022;Serviços Terceiros;7956 - M.O TERCEIRA  - MENSAL - CWBEM - NOV'24;7956 - M.O TERCEIRA  - MENSAL - CWBEM - NOV'24;100084382;-24890,99;2031138;Outras Provisoes a Pagar;AB;2;1299327767;Outras Provisoes;BR5A008;26/12/2024;BR16;PROVISÃO;09404259;
14/01/2025;1;7956;BR1A233;ETE BA;M412739492;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5109334281;-739,84;2010000;Transitoria Recebimento Fisico/Fisc;R3;2;1299642747;Recbto Fisico/Fiscal;BR1A233;07/01/2025;BR16;BR7956FC10012509501100;09221865;900004907
10/01/2025;1;7956;BR1A233;ETE BA;M412739492;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5083954673;5094,34;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1297194212;Recbto Fisico/Fiscal;BR1A233;07/01/2025;BR16;;09385570;900004907
07/01/2025;1;7956;BR1A233;ETE BA;M412699580;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5109300912;592,95;1000057046;MORAIS DE CASTRO COMERCIO E IMPORTA;R3;3;1295186938;MORAIS DE CASTRO COMERCIO E IMPORTA;BR1A233;31/12/2024;BR16;BR7956FC02012510115931;09221865;900004907
02/01/2025;1;7956;BR1A233;ETE BA;M412699580;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5083720394;8100;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1292565102;Recbto Fisico/Fiscal;BR1A233;31/12/2024;BR16;;09385570;900004907
04/02/2025;2;7956;BR1A233;ETE BA;M412795096;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5084693206;10188,68;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1311490805;Recbto Fisico/Fiscal;BR1A233;31/01/2025;BR16;;09349096;900004907
05/02/2025;2;7956;BR1A233;ETE BA;M412795096;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5109435822;-1491,68;2010000;Transitoria Recebimento Fisico/Fisc;R3;2;1312694430;Recbto Fisico/Fiscal;BR1A233;31/01/2025;BR16;BR7956FC04022507054920;09221865;900004907
13/03/2025;3;7956;BR1A233;ETE BA;M412882134;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5085828526;10226,42;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1334256885;Recbto Fisico/Fiscal;BR1A233;13/03/2025;BR16;;09456067;900004907
18/03/2025;3;7956;BR1A233;ETE BA;M412882134;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5109624568;-1517,42;2010000;Transitoria Recebimento Fisico/Fisc;R3;2;1336814726;Recbto Fisico/Fiscal;BR1A233;13/03/2025;BR16;;09407573;900004907
14/03/2025;3;7956;BR1A233;ETE BA;M412882134;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5085861416;10226,42;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1334948562;Recbto Fisico/Fiscal;BR1A233;13/03/2025;BR16;;09456067;900004907
13/03/2025;3;7956;BR1A233;ETE BA;M412882134;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5085861275;-10226,42;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1334945983;Recbto Fisico/Fiscal;BR1A233;13/03/2025;BR16;;09456067;900004907
14/04/2025;4;7956;BR1A233;ETE BA;M412920404;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5086798032;10226,42;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1353374103;Recbto Fisico/Fiscal;BR1A233;11/04/2025;BR16;;09456067;900004907
24/04/2025;4;7956;BR1A233;ETE BA;M412920404;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5109797076;-1487,42;2010000;Transitoria Recebimento Fisico/Fisc;R3;3;1358342269;Recbto Fisico/Fiscal;BR1A233;11/04/2025;BR16;;09407573;900004907
12/05/2025;5;7956;BR1A233;ETE BA;M412992247;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5087554693;10226,42;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1368337143;Recbto Fisico/Fiscal;BR1A233;09/05/2025;BR16;;09349096;900004907
12/05/2025;5;7956;BR1A233;ETE BA;M412992247;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5109880228;-1526,42;2010000;Transitoria Recebimento Fisico/Fisc;R3;3;1368478960;Recbto Fisico/Fiscal;BR1A233;09/05/2025;BR16;;09420742;900004907
27/06/2025;6;7956;BR1A233;ETE BA;M413076040;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5088947389;8742,01;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1395997677;Recbto Fisico/Fiscal;BR1A233;26/06/2025;BR16;;09456067;900004907
27/06/2025;6;7956;BR1A233;ETE BA;M413076040;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5105714894;-42,01;2010000;Transitoria Recebimento Fisico/Fisc;RE;3;1396010570;Recbto Fisico/Fiscal;BR1A233;26/06/2025;BR16;15102809000100;S_BATCH_FI;900004907
27/06/2025;6;7956;BR1A233;ETE BA;M413076040;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5105714894;0;1000057046;MORAIS DE CASTRO COMERCIO E IMPORTA;RE;4;1396010570;MORAIS DE CASTRO COMERCIO E IMPORTA;BR1A233;26/06/2025;BR16;15102809000100;S_BATCH_FI;900004907
23/07/2025;7;7956;BR1A233;ETE BA;M413131749;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5105821364;-395,21;2010000;Transitoria Recebimento Fisico/Fisc;R3;3;1411153413;Recbto Fisico/Fiscal;BR1A233;22/07/2025;BR16;;09407573;900004907
23/07/2025;7;7956;BR1A233;ETE BA;M413131749;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5089681938;4371;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1411078020;Recbto Fisico/Fiscal;BR1A233;22/07/2025;BR16;;09478597;900004907
12/08/2025;8;7956;BR1A233;ETE BA;M413176012;6600124;Tratamento Efluentes;Recebimento físico;ACIDO SULFURICO;5090276737;8742,01;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1422832673;Recbto Fisico/Fiscal;BR1A233;11/08/2025;BR16;;09478597;900004907
13/08/2025;8;7956;BR1A233;ETE BA;M413176012;6600124;Tratamento Efluentes;Recebimento fatura;ACIDO SULFURICO;5105915417;42,15;1000057046;MORAIS DE CASTRO COMERCIO E IMPORTA;R3;2;1422969651;MORAIS DE CASTRO COMERCIO E IMPORTA;BR1A233;11/08/2025;BR16;;09407573;900004907
31/01/2025;1;7956;BR1A312;COMBI 24000;4519068262;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109420325;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;1;1309976641;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A312;21/12/2024;BR16;13504675000110;80156364;1000060
31/01/2025;1;7956;BR1A312;COMBI 24000;4519068262;6600125;Agua;Recebimento físico;AGUA POTAVEL;5084593150;104,13;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1309442462;Recbto Fisico/Fiscal;BR1A312;21/12/2024;BR16;;09385570;1000060
31/01/2025;1;7956;BR1A312;COMBI 24000;4519068236;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109420314;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;1;1309976604;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A312;22/01/2025;BR16;13504675000110;80156364;1000060
31/01/2025;1;7956;BR1A312;COMBI 24000;4519068236;6600125;Agua;Recebimento físico;AGUA POTAVEL;5084594125;11586,05;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1309449366;Recbto Fisico/Fiscal;BR1A312;22/01/2025;BR16;;09385570;1000060
14/02/2025;2;7956;BR1A312;COMBI 24000;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085234005;-104,13;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1322412950;Recbto Fisico/Fiscal;BR1A312;21/11/2024;BR16;;09349096;1000060
27/02/2025;2;7956;BR1A312;COMBI 24000;4519191499;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109543506;0;2010000;Transitoria Recebimento Fisico/Fisc;RE;1;1325666420;Recbto Fisico/Fiscal;BR1A312;21/11/2024;BR16;13504675000110;09348821;1000060
14/02/2025;2;7956;BR1A312;COMBI 24000;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085008637;104,13;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1317893487;Recbto Fisico/Fiscal;BR1A312;21/11/2024;BR16;;09385570;1000060
21/02/2025;2;7956;BR1A312;COMBI 24000;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085234267;104,13;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1322415000;Recbto Fisico/Fiscal;BR1A312;21/11/2024;BR16;;09349096;1000060
17/02/2025;2;7956;BR1A312;COMBI 24000;4519191435;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109488074;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;1;1319316348;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A312;23/10/2024;BR16;13504675000110;09208650;1000060
14/02/2025;2;7956;BR1A312;COMBI 24000;4519191435;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085007343;29999,38;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1317887582;Recbto Fisico/Fiscal;BR1A312;23/10/2024;BR16;;09385570;1000060
10/03/2025;3;7956;BR1A312;COMBI 24000;4519398292;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085732155;52100,76;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1332372041;Recbto Fisico/Fiscal;BR1A312;22/02/2025;BR16;;09456067;1000060
30/04/2025;4;7956;BR1A312;COMBI 24000;4519820585;6600125;Agua;Recebimento físico;AGUA POTAVEL;5087229715;60688,27;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1361821998;Recbto Fisico/Fiscal;BR1A312;26/03/2025;BR16;;09385570;1000060
30/04/2025;4;7956;BR1A312;COMBI 24000;4519820300;6600125;Agua;Recebimento físico;AGUA POTAVEL;5087230393;2223,61;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1361848629;Recbto Fisico/Fiscal;BR1A312;25/04/2025;BR16;;09385570;1000060
14/04/2025;4;7956;BR1A312;COMBI 24000;4519398292;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109752144;590,01;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;2;1352928858;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A312;22/02/2025;BR16;13504675000110;09426914;1000060
14/04/2025;4;7956;BR1A312;COMBI 24000;4519398292;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109752144;0;2010000;Transitoria Recebimento Fisico/Fisc;RE;1;1352928858;Recbto Fisico/Fiscal;BR1A312;22/02/2025;BR16;13504675000110;09426914;1000060
