Data de lançamento;Período;Centro;Centro custo;Denominação de objeto;Documento de compras;Classe de custo;Denom.classe custo;Denominação;Texto breve material;Nº doc.de referência;Valor/moeda objeto;Conta lnçto.contrap.;Descrição da conta de contrapartida;Tipo de documento;Linha de lançamento;Nº documento;Denomin.da conta de contrapartida;Objeto;Data do documento;Empresa;Texto de cabeçalho de documento;Nome do usuário;Material
30/05/2025;5;7956;BR1A312;COMBI 24000;4520089822;6600125;Agua;Recebimento físico;AGUA POTAVEL;5088132239;8339,89;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1379773465;Recbto Fisico/Fiscal;BR1A312;23/05/2025;BR16;;09456067;1000060
27/05/2025;5;7956;BR1A312;COMBI 24000;4519820300;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109956545;25,19;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;1;1377359477;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A312;25/04/2025;BR16;13504675000110;09426914;1000060
26/06/2025;6;7956;BR1A312;COMBI 24000;4520089822;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5105702616;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;1;1395079528;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A312;23/05/2025;BR16;13504675000110;40102564;1000060
25/07/2025;7;7956;BR1A312;COMBI 24000;4520554517;6600125;Agua;Recebimento físico;AGUA POTAVEL;5089743906;-69198,57;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1412300808;Recbto Fisico/Fiscal;BR1A312;23/07/2025;BR16;;09456067;1000060
25/07/2025;7;7956;BR1A312;COMBI 24000;4520554517;6600125;Agua;Recebimento físico;AGUA POTAVEL;5089744045;69198,57;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1412300894;Recbto Fisico/Fiscal;BR1A312;23/06/2025;BR16;;09456067;1000060
25/07/2025;7;7956;BR1A312;COMBI 24000;4520554517;6600125;Agua;Recebimento físico;AGUA POTAVEL;5089743793;69198,57;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1412295545;Recbto Fisico/Fiscal;BR1A312;23/07/2025;BR16;;09456067;1000060
29/08/2025;8;7956;BR1A312;COMBI 24000;4520872512;6600125;Agua;Recebimento físico;AGUA POTAVEL;5090780422;73378,51;2010000;Transitoria Recebimento Fisico/Fisc;WE;1;1432676194;Recbto Fisico/Fiscal;BR1A312;23/07/2025;BR16;;09385570;1000060
08/08/2025;8;7956;BR1A312;COMBI 24000;4520554517;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5105897386;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;1;1420384780;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A312;23/06/2025;BR16;13504675000110;09257681;1000060
31/01/2025;1;7956;BR1A010;PRODUCAO MAGICO BA;4519068262;6600125;Agua;Recebimento físico;AGUA POTAVEL;5084593150;1,08;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1309442462;Recbto Fisico/Fiscal;BR1A010;21/12/2024;BR16;;09385570;1000060
31/01/2025;1;7956;BR1A010;PRODUCAO MAGICO BA;4519068262;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109420325;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;3;1309976641;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A010;21/12/2024;BR16;13504675000110;80156364;1000060
31/01/2025;1;7956;BR1A010;PRODUCAO MAGICO BA;4519068236;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109420314;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;3;1309976604;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A010;22/01/2025;BR16;13504675000110;80156364;1000060
31/01/2025;1;7956;BR1A010;PRODUCAO MAGICO BA;4519068236;6600125;Agua;Recebimento físico;AGUA POTAVEL;5084594125;120,69;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1309449366;Recbto Fisico/Fiscal;BR1A010;22/01/2025;BR16;;09385570;1000060
14/02/2025;2;7956;BR1A010;PRODUCAO MAGICO BA;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085234005;-1,08;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1322412950;Recbto Fisico/Fiscal;BR1A010;21/11/2024;BR16;;09349096;1000060
21/02/2025;2;7956;BR1A010;PRODUCAO MAGICO BA;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085234267;1,08;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1322415000;Recbto Fisico/Fiscal;BR1A010;21/11/2024;BR16;;09349096;1000060
14/02/2025;2;7956;BR1A010;PRODUCAO MAGICO BA;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085008637;1,08;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1317893487;Recbto Fisico/Fiscal;BR1A010;21/11/2024;BR16;;09385570;1000060
14/02/2025;2;7956;BR1A010;PRODUCAO MAGICO BA;4519191435;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085007343;312,49;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1317887582;Recbto Fisico/Fiscal;BR1A010;23/10/2024;BR16;;09385570;1000060
17/02/2025;2;7956;BR1A010;PRODUCAO MAGICO BA;4519191435;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109488074;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;3;1319316348;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A010;23/10/2024;BR16;13504675000110;09208650;1000060
10/03/2025;3;7956;BR1A010;PRODUCAO MAGICO BA;4519398292;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085732155;542,72;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1332372041;Recbto Fisico/Fiscal;BR1A010;22/02/2025;BR16;;09456067;1000060
30/04/2025;4;7956;BR1A010;PRODUCAO MAGICO BA;4519820585;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109834089;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;1;1362146668;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A010;26/03/2025;BR16;13504675000110;80156364;1000060
30/04/2025;4;7956;BR1A010;PRODUCAO MAGICO BA;4519820585;6600125;Agua;Recebimento físico;AGUA POTAVEL;5087229715;632,17;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1361821998;Recbto Fisico/Fiscal;BR1A010;26/03/2025;BR16;;09385570;1000060
30/04/2025;4;7956;BR1A010;PRODUCAO MAGICO BA;4519820300;6600125;Agua;Recebimento físico;AGUA POTAVEL;5087230393;23,16;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1361848629;Recbto Fisico/Fiscal;BR1A010;25/04/2025;BR16;;09385570;1000060
14/04/2025;4;7956;BR1A010;PRODUCAO MAGICO BA;4519398292;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109752144;0;2010000;Transitoria Recebimento Fisico/Fisc;RE;5;1352928858;Recbto Fisico/Fiscal;BR1A010;22/02/2025;BR16;13504675000110;09426914;1000060
14/04/2025;4;7956;BR1A010;PRODUCAO MAGICO BA;4519398292;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109752144;6,15;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;6;1352928858;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A010;22/02/2025;BR16;13504675000110;09426914;1000060
30/05/2025;5;7956;BR1A010;PRODUCAO MAGICO BA;4520089822;6600125;Agua;Recebimento físico;AGUA POTAVEL;5088132239;86,87;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1379773465;Recbto Fisico/Fiscal;BR1A010;23/05/2025;BR16;;09456067;1000060
27/05/2025;5;7956;BR1A010;PRODUCAO MAGICO BA;4519820300;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109956545;0,26;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;3;1377359477;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A010;25/04/2025;BR16;13504675000110;09426914;1000060
26/06/2025;6;7956;BR1A010;PRODUCAO MAGICO BA;4520089822;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5105702616;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;3;1395079528;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A010;23/05/2025;BR16;13504675000110;40102564;1000060
25/07/2025;7;7956;BR1A010;PRODUCAO MAGICO BA;4520554517;6600125;Agua;Recebimento físico;AGUA POTAVEL;5089743906;-720,82;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1412300808;Recbto Fisico/Fiscal;BR1A010;23/07/2025;BR16;;09456067;1000060
25/07/2025;7;7956;BR1A010;PRODUCAO MAGICO BA;4520554517;6600125;Agua;Recebimento físico;AGUA POTAVEL;5089744045;720,82;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1412300894;Recbto Fisico/Fiscal;BR1A010;23/06/2025;BR16;;09456067;1000060
25/07/2025;7;7956;BR1A010;PRODUCAO MAGICO BA;4520554517;6600125;Agua;Recebimento físico;AGUA POTAVEL;5089743793;720,82;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1412295545;Recbto Fisico/Fiscal;BR1A010;23/07/2025;BR16;;09456067;1000060
29/08/2025;8;7956;BR1A010;PRODUCAO MAGICO BA;4520872512;6600125;Agua;Recebimento físico;AGUA POTAVEL;5090780422;764,36;2010000;Transitoria Recebimento Fisico/Fisc;WE;3;1432676194;Recbto Fisico/Fiscal;BR1A010;23/07/2025;BR16;;09385570;1000060
08/08/2025;8;7956;BR1A010;PRODUCAO MAGICO BA;4520554517;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5105897386;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;3;1420384780;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A010;23/06/2025;BR16;13504675000110;09257681;1000060
31/01/2025;1;7956;BR1A009;PRODUCAO TODDY BA;4519068262;6600125;Agua;Recebimento físico;AGUA POTAVEL;5084593150;3,25;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1309442462;Recbto Fisico/Fiscal;BR1A009;21/12/2024;BR16;;09385570;1000060
31/01/2025;1;7956;BR1A009;PRODUCAO TODDY BA;4519068262;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109420325;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;2;1309976641;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A009;21/12/2024;BR16;13504675000110;80156364;1000060
31/01/2025;1;7956;BR1A009;PRODUCAO TODDY BA;4519068236;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109420314;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;2;1309976604;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A009;22/01/2025;BR16;13504675000110;80156364;1000060
31/01/2025;1;7956;BR1A009;PRODUCAO TODDY BA;4519068236;6600125;Agua;Recebimento físico;AGUA POTAVEL;5084594125;362,06;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1309449366;Recbto Fisico/Fiscal;BR1A009;22/01/2025;BR16;;09385570;1000060
14/02/2025;2;7956;BR1A009;PRODUCAO TODDY BA;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085234005;-3,25;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1322412950;Recbto Fisico/Fiscal;BR1A009;21/11/2024;BR16;;09349096;1000060
21/02/2025;2;7956;BR1A009;PRODUCAO TODDY BA;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085234267;3,25;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1322415000;Recbto Fisico/Fiscal;BR1A009;21/11/2024;BR16;;09349096;1000060
27/02/2025;2;7956;BR1A009;PRODUCAO TODDY BA;4519191499;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109543506;0;2010000;Transitoria Recebimento Fisico/Fisc;RE;2;1325666420;Recbto Fisico/Fiscal;BR1A009;21/11/2024;BR16;13504675000110;09348821;1000060
14/02/2025;2;7956;BR1A009;PRODUCAO TODDY BA;4519191499;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085008637;3,25;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1317893487;Recbto Fisico/Fiscal;BR1A009;21/11/2024;BR16;;09385570;1000060
14/02/2025;2;7956;BR1A009;PRODUCAO TODDY BA;4519191435;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085007343;937,48;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1317887582;Recbto Fisico/Fiscal;BR1A009;23/10/2024;BR16;;09385570;1000060
17/02/2025;2;7956;BR1A009;PRODUCAO TODDY BA;4519191435;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109488074;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;2;1319316348;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A009;23/10/2024;BR16;13504675000110;09208650;1000060
10/03/2025;3;7956;BR1A009;PRODUCAO TODDY BA;4519398292;6600125;Agua;Recebimento físico;AGUA POTAVEL;5085732155;1628,15;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1332372041;Recbto Fisico/Fiscal;BR1A009;22/02/2025;BR16;;09456067;1000060
30/04/2025;4;7956;BR1A009;PRODUCAO TODDY BA;4519820585;6600125;Agua;Recebimento físico;AGUA POTAVEL;5087229715;1896,51;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1361821998;Recbto Fisico/Fiscal;BR1A009;26/03/2025;BR16;;09385570;1000060
30/04/2025;4;7956;BR1A009;PRODUCAO TODDY BA;4519820300;6600125;Agua;Recebimento físico;AGUA POTAVEL;5087230393;69,49;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1361848629;Recbto Fisico/Fiscal;BR1A009;25/04/2025;BR16;;09385570;1000060
14/04/2025;4;7956;BR1A009;PRODUCAO TODDY BA;4519398292;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109752144;0;2010000;Transitoria Recebimento Fisico/Fisc;RE;3;1352928858;Recbto Fisico/Fiscal;BR1A009;22/02/2025;BR16;13504675000110;09426914;1000060
14/04/2025;4;7956;BR1A009;PRODUCAO TODDY BA;4519398292;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109752144;18,44;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;4;1352928858;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A009;22/02/2025;BR16;13504675000110;09426914;1000060
30/05/2025;5;7956;BR1A009;PRODUCAO TODDY BA;4520089822;6600125;Agua;Recebimento físico;AGUA POTAVEL;5088132239;260,62;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1379773465;Recbto Fisico/Fiscal;BR1A009;23/05/2025;BR16;;09456067;1000060
27/05/2025;5;7956;BR1A009;PRODUCAO TODDY BA;4519820300;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5109956545;0,79;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;2;1377359477;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A009;25/04/2025;BR16;13504675000110;09426914;1000060
26/06/2025;6;7956;BR1A009;PRODUCAO TODDY BA;4520089822;6600125;Agua;Recebimento fatura;AGUA POTAVEL;5105702616;0;1000037698;EMPRESA BAIANA DE AGUAS E SANEAMENT;RE;2;1395079528;EMPRESA BAIANA DE AGUAS E SANEAMENT;BR1A009;23/05/2025;BR16;13504675000110;40102564;1000060
25/07/2025;7;7956;BR1A009;PRODUCAO TODDY BA;4520554517;6600125;Agua;Recebimento físico;AGUA POTAVEL;5089743906;-2162,46;2010000;Transitoria Recebimento Fisico/Fisc;WE;2;1412300808;Recbto Fisico/Fiscal;BR1A009;23/07/2025;BR16;;09456067;1000060
